,Hotel Names,Location ,Ratings,Number of Reviews,Prices
0,   Hotel Indigo Singapore Katong,"Mountbatten, Singapore",4.5 of 5 bubbles,803 reviews,S$699
1," PARKROYAL COLLECTION Marina Bay, Singapore","Esplanade, Singapore",4.5 of 5 bubbles,"8,980 reviews","S$1,989"
2, Marina Bay Sands,"Bayfront, Singapore",4.5 of 5 bubbles,"29,595 reviews","S$1,540"
3, V Hotel Bencoolen,"Bencoolen, Singapore",4 of 5 bubbles,"2,344 reviews",S$449
4, The Clan Hotel by Far East Hospitality,"The Raffles Place, Singapore",5 of 5 bubbles,690 reviews,"S$1,016"
5, YOTEL Singapore,"Orchard, Singapore",4 of 5 bubbles,"4,009 reviews","S$1,169"
6,   Holiday Inn Express Singapore Clarke Quay,"Fort Canning, Singapore",4 of 5 bubbles,"2,978 reviews","S$1,425"
7, The Scarlet Singapore,"Chinatown, Singapore",4 of 5 bubbles,"2,123 reviews",S$731
8, Orchard Hotel Singapore,"Orchard, Singapore",4.5 of 5 bubbles,"1,081 reviews",S$907
9, Park Regis Singapore,"Clarke Quay, Singapore",4 of 5 bubbles,"5,561 reviews","S$1,531"
10, Grand Copthorne Waterfront,"Outram Park, Singapore",4 of 5 bubbles,"5,123 reviews","S$1,398"
11, York Hotel Singapore,"Orchard, Singapore",3.5 of 5 bubbles,"1,931 reviews",S$612
12, ibis Styles Singapore Albert,"Rochor, Singapore",4.5 of 5 bubbles,"1,157 reviews",S$296
13,  Bencoolen,"Bencoolen, Singapore",4.5 of 5 bubbles,585 reviews,S$900
14, Hotel G Singapore,"Bencoolen, Singapore",4 of 5 bubbles,"3,938 reviews",S$504
15, Carlton Hotel Singapore,"Bencoolen, Singapore",4 of 5 bubbles,"5,020 reviews","S$1,388"
16," Capri by Fraser, China Square / Singapore","Clarke Quay, Singapore",4.5 of 5 bubbles,278 reviews,"S$1,053"
17, Grand Park City Hall,"City Hall, Singapore",4.5 of 5 bubbles,"4,782 reviews","S$1,421"
18,   Quincy Hotel Singapore by Far East Hospitality,"Orchard, Singapore",4.5 of 5 bubbles,"3,957 reviews",S$970
19, Hotel Boss,"Lavender, Singapore",4 of 5 bubbles,"4,033 reviews",S$484
20," Crowne Plaza Changi Airport, an IHG Hotel","Changi Airport, Singapore",4.5 of 5 bubbles,"6,356 reviews",S$432
21, Peninsula Excelsior Hotel,"Clarke Quay, Singapore",3.5 of 5 bubbles,"5,015 reviews",S$801
22, Royal Plaza on Scotts,"Orchard, Singapore",4.5 of 5 bubbles,"5,478 reviews",S$840
23,Mercure Singapore On Stevens,"Orchard, Singapore",4 of 5 bubbles,473 reviews,S$426
24,"   PARKROYAL COLLECTION Pickering, Singapore","Outram, Singapore",4.5 of 5 bubbles,"5,707 reviews","S$1,700"
25, Days Hotel by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",4 of 5 bubbles,"2,920 reviews",S$499
26, Travelodge Harbourfront,"Harbourfront, Singapore",4 of 5 bubbles,"1,518 reviews",S$439
27, Park Avenue Rochester Hotel,"Buona Vista, Singapore",4 of 5 bubbles,"1,034 reviews",S$772
28, Hotel Chancellor at Orchard,"Orchard, Singapore",3 of 5 bubbles,594 reviews,S$702
29, J Hotel,"Farrer Park, Singapore",3.5 of 5 bubbles,481 reviews,S$260
30,"   Crowne Plaza Changi Airport, an IHG Hotel","Changi Airport, Singapore",4.5 of 5 bubbles,"6,356 reviews",S$432
31, Aqueen Hotel Paya Lebar,"Paya Lebar, Singapore",4 of 5 bubbles,345 reviews,S$925
32, Dorsett Singapore,"Outram Park, Singapore",4 of 5 bubbles,"1,384 reviews",S$730
33, Strand Hotel,"Bencoolen, Singapore",3.5 of 5 bubbles,610 reviews,S$299
34, Hotel Mi,"Bencoolen, Singapore",4 of 5 bubbles,751 reviews,S$246
35,Singapore Marriott Tang Plaza Hotel,"Orchard, Singapore",4.5 of 5 bubbles,"3,606 reviews",S$718
36,   Village Hotel Katong by Far East Hospitality,"Paya Lebar, Singapore",4.5 of 5 bubbles,"3,459 reviews",S$525
0,ST Signature Jalan Besar,"Little India, Singapore",7.7,395 reviews,S$ 101
1,The Outpost Hotel Sentosa by Far East Hospitality,"Sentosa Island, Singapore",8.6,362 reviews,S$ 328
2,Village Hotel Sentosa by Far East Hospitality,"Sentosa Island, Singapore",8.3,900 reviews,S$ 339
3,The Capitol Kempinski Hotel Singapore,"City Hall, Singapore",9,942 reviews,S$ 525
4,Grand Copthorne Waterfront,"Robertson Quay, Singapore",7.3,"1,634 reviews",S$ 262
5,Ibis Budget Singapore Clarke Quay,"Boat Quay, Singapore",7.2,"1,541 reviews",S$ 169
6,"Holiday Inn Singapore Little India, an IHG Hotel","Farrer Park, Singapore",8.1,743 reviews,S$ 266
7,Ibis Budget Singapore Imperial,"Lavender, Singapore",7.1,492 reviews,S$ 127
8,M Social Singapore,"Robertson Quay, Singapore",7.7,"2,708 reviews",S$ 254
9,ibis Styles Singapore Albert,"Bencoolen, Singapore",7.2,42 reviews,S$ 186
10,Hotel Royal at Queens,"Victoria, Singapore",7.6,"1,536 reviews",S$ 178
11,Swissotel The Stamford,"City Hall, Singapore",8.7,"1,521 reviews",S$ 539
12,Copthorne King's Hotel Singapore on Havelock,"Robertson Quay, Singapore",7.7,509 reviews,S$ 259
13,Mercure Singapore On Stevens,"Orchard, Singapore",7.4,404 reviews,S$ 220
14,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel","Clarke Quay, Singapore",8.4,"2,178 reviews",S$ 257
15,YOTEL Singapore Orchard Road,"Orchard, Singapore",8.2,"4,083 reviews",S$ 275
16,Ibis Budget Singapore Selegie,"Selegie, Singapore",6.9,512 reviews,S$ 148
17,Days Hotel by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",8.2,"1,035 reviews",S$ 191
18,Regent Singapore,"Orchard, Singapore",8.5,217 reviews,S$ 363
19,Ibis Singapore Novena,"Novena, Singapore",7.5,292 reviews,S$ 168
20,Park Regis Singapore,"Clarke Quay, Singapore",7.9,"1,651 reviews",S$ 260
21,Fairmont Singapore,"City Hall, Singapore",8.6,"1,465 reviews",S$ 603
22,"Holiday Inn Express Singapore Orchard Road, an IHG Hotel","Orchard, Singapore",8.3,686 reviews,S$ 335
23,Village Hotel Bugis by Far East Hospitality,"Kampong Glam, Singapore",7.7,"2,552 reviews",S$ 212
24,Hotel Boss,"Kallang, Singapore",7.1,"6,201 reviews",S$ 158
25,M Social Singapore,"Robertson Quay, Singapore",7.7,"2,708 reviews",S$ 254
26,Ramada by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",8.2,"1,779 reviews",S$ 244
27,Pan Pacific Singapore,"Marina Bay, Singapore",8.7,"2,332 reviews",S$ 590
28,Marina Bay Sands,"Marina Bay, Singapore",9.1,"8,115 reviews",S$ 882
29,"Holiday Inn Singapore Atrium, an IHG Hotel","Robertson Quay, Singapore",8.2,172 reviews,S$ 282
30,The St Regis Singapore,"Orchard, Singapore",8.8,557 reviews,S$ 576
31,"Holiday Inn Express Singapore Orchard Road, an IHG Hotel","Orchard, Singapore",8.3,686 reviews,S$ 335
32,Hotel Boss,"Kallang, Singapore",7.1,"6,201 reviews",S$ 158
33,Days Hotel by Wyndham Singapore at Zhongshan Park,"Novena, Singapore",8.2,"1,035 reviews",S$ 191
34,Ibis Styles Singapore On Macpherson,"Macpherson, Singapore",6.6,780 reviews,S$ 189
35,"Crowne Plaza Changi Airport, an IHG Hotel","Changi, Singapore",8.7,"1,903 reviews",S$ 492
36,"Holiday Inn Singapore Orchard City Centre, an IHG Hotel","Orchard, Singapore",8.1,631 reviews,S$ 375
37,Park Regis Singapore,"Clarke Quay, Singapore",7.9,"1,651 reviews",S$ 264
38,"Holiday Inn Express Singapore Serangoon, an IHG Hotel","Lavender, Singapore",8.3,513 reviews,S$ 236
39,Sofitel Singapore City Centre,"Tanjong Pagar, Singapore",8.7,236 reviews,S$ 614
40,"PARKROYAL COLLECTION Pickering, Singapore","Chinatown, Singapore",8.8,"2,910 reviews",S$ 565
41,"Four Points by Sheraton Singapore, Riverview","Robertson Quay, Singapore",8.1,608 reviews,S$ 377
42,YOTELAIR Singapore Changi Airport Landside,"Changi, Singapore",7.8,"3,293 reviews",S$ 311
43,Village Hotel Katong by Far East Hospitality,"Katong, Singapore",8.5,"1,117 reviews",S$ 217
44,JW Marriott Hotel Singapore South Beach,"City Hall, Singapore",8.5,303 reviews,S$ 611
45,Ji Hotel Orchard Singapore,"Dhoby Ghaut, Singapore",8.3,524 reviews,S$ 194
46,"Oasia Hotel Downtown, Singapore by Far East Hospitality","Chinatown, Singapore",8.4,"1,080 reviews",S$ 420
47,Royal Plaza on Scotts,"Orchard, Singapore",8.1,"1,018 reviews",S$ 306
48,Goodwood Park Hotel,"Orchard, Singapore",8.4,999 reviews,S$ 447
49,The Sultan,"Kampong Glam, Singapore",8,608 reviews,S$ 156
